Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Home_Loan_Ratio,Loan_Status
Not Graduate,Yes,5265.231308209097,1602.6767474486383,196.59963530255692,300,0,Urban,34.756683863013514,1
Graduate,No,4179.979873119102,2534.3648986363833,175.01273336086012,240,0,Rural,38.14692632486867,0
Not Graduate,No,4592.51733451092,2091.093606255913,143.229022466695,300,1,Semiurban,46.34026374483815,1
Graduate,Yes,7510.178135447805,1148.4600202206811,204.09450183704604,180,0,Rural,42.21779754265692,0
Not Graduate,Yes,7010.691577685522,2006.2731561844182,55.40578508833949,360,1,Semiurban,159.85886411736118,1
Not Graduate,Yes,3050.6281446086036,468.4646847563569,232.0829324568774,240,1,Urban,15.098028810050375,1
Graduate,No,6244.598626818762,3150.267395898296,81.76163620437059,300,0,Urban,113.51716149639054,1
Graduate,Yes,6217.094831737388,1794.7159805037486,124.91628700910816,180,1,Urban,63.62807387785824,1
Graduate,No,3277.6050668710727,3118.549944255326,148.36329859219722,360,0,Urban,42.82280233104423,0
Graduate,No,6228.166465632291,1473.468312903957,144.14077317087356,300,0,Urban,53.06320622578708,0
Graduate,No,7306.89787761883,1476.4240115934172,190.2564416010622,360,0,Semiurban,45.9243192840176,1
Graduate,No,3316.182790633379,1235.8132133621536,107.68653525559063,240,1,Semiurban,41.88187610628049,0
Graduate,No,3623.7457684786045,2876.1739316930752,160.4306726993225,240,1,Semiurban,40.26446518177062,0
Graduate,No,6526.492200265254,1290.568842671524,126.87151607120984,180,1,Rural,61.13215267255897,0
Not Graduate,No,5407.242966238472,2644.5954324151767,161.80563917349667,240,1,Urban,49.45675370662724,1
Not Graduate,Yes,5827.2144128592845,1617.5476023307099,147.40910960808495,180,1,Urban,50.163780611917524,1
Graduate,Yes,5510.883824600745,24.036700108380327,153.7174261073191,300,1,Urban,35.77438342898654,1
Not Graduate,No,5586.0438813922165,1429.6859322135338,128.0030067014262,360,1,Rural,54.38423485619571,1
Not Graduate,No,3010.2918075333755,820.8917856371515,129.5974419961567,240,1,Rural,29.335824152537946,0
Not Graduate,Yes,6570.976559932173,2033.9027236823374,161.49090056109708,360,1,Rural,52.9560686407732,1
Not Graduate,No,6754.38498864166,809.5922643255097,187.74862023024178,360,1,Urban,40.074344616349414,1
Graduate,Yes,4655.913883897958,2925.975100714617,126.06882663208609,300,1,Semiurban,59.66757689960502,1
Not Graduate,Yes,4934.784575279206,1908.9241396469727,115.2492982170836,300,0,Rural,58.87096799626486,0
Graduate,Yes,2703.338746166416,1822.404005241261,174.5384066268735,240,1,Rural,25.782065807556574,0
Not Graduate,No,5771.382134026752,2655.8921377875827,148.69984427769242,300,0,Semiurban,56.294475872545235,1
Not Graduate,No,5858.086162571216,2963.9069340758624,183.21992535943807,360,0,Rural,47.88837624070346,1
Not Graduate,Yes,4906.7134745010335,1979.9012482303483,113.76811146515409,180,0,Semiurban,60.004600884473874,0
Graduate,Yes,6686.530039805754,1228.7997004507095,78.82244298306277,180,0,Urban,99.16170746535518,0
Not Graduate,Yes,4498.884153530089,226.03038388787056,128.67983672694663,180,1,Semiurban,36.43522891971804,0
Graduate,Yes,5846.9088888404,1313.95024296482,119.34589562939937,240,0,Semiurban,59.50231284876399,0
Not Graduate,Yes,3470.5034919618265,1382.7877533520384,146.848463996788,300,0,Urban,32.82611881188906,0
Graduate,No,4964.671773688643,2107.057452992297,124.52619142918442,300,0,Rural,56.33668277644235,0
Not Graduate,Yes,4738.4686131457465,1654.853118861973,179.64067805345798,300,1,Urban,35.392480812742015,1
Graduate,No,5337.961883061412,2687.932972051428,138.47398950309935,300,0,Rural,57.54402583382395,0
Graduate,Yes,4445.709606749962,1387.0167287293104,156.01897995095604,360,0,Rural,37.14663244724358,0
Not Graduate,No,4802.791106492498,1942.9588331470582,156.30538233763775,180,1,Semiurban,42.883147667259,1
Graduate,No,6239.07075716226,3183.987443196889,157.7982036964875,360,1,Urban,59.33982866940692,1
Not Graduate,No,4344.853644142674,2341.8252139549663,149.03483558180108,240,1,Semiurban,44.56750881998981,1
Not Graduate,No,2590.134348891981,1939.9624583114355,170.42402761641253,180,1,Urban,26.426265151931915,0
Not Graduate,No,7624.375856308131,1398.055558064823,118.17379464696769,180,1,Urban,75.70818266801345,1
Not Graduate,No,7072.18111803573,1366.768603285023,205.97671706615532,360,1,Semiurban,40.77245905211376,1
Not Graduate,Yes,3061.605957341572,1149.3867470480523,140.53850466525859,240,1,Rural,29.75156982440013,0
Not Graduate,No,6034.5617078677915,1458.9931342171005,97.53803448405273,240,1,Rural,76.04733422298614,0
Not Graduate,Yes,4245.537844172985,2755.6658387443144,157.52293427967092,180,1,Urban,44.16524154521115,1
Not Graduate,No,5395.230822996589,1778.1117287077313,115.9527807021006,300,0,Rural,61.33537405986175,0
Not Graduate,No,5441.33619352024,650.226930618769,176.613381380355,240,1,Semiurban,34.296757805055606,1
Not Graduate,Yes,4648.388299525517,3768.1692930597833,238.3842230416951,360,0,Semiurban,35.159199238954585,1
Not Graduate,No,3824.351501620405,2319.965191145163,118.537116337686,240,0,Semiurban,51.400911122936904,0
Graduate,Yes,3964.188421525611,593.0565994868307,163.2948933289594,180,1,Urban,27.73820250083914,0
Graduate,Yes,3625.7121267781363,1558.151072759176,79.7797764518149,300,1,Urban,64.17278466510098,0
Not Graduate,Yes,3752.266687654333,2110.886382828418,168.1562091776539,240,1,Rural,34.66117560204402,1
Not Graduate,Yes,4899.232564925967,3704.5920932973772,114.57144800801242,180,1,Semiurban,74.44593631488334,1
Not Graduate,No,3926.3600163338724,891.8875417411307,125.00661526262071,240,0,Semiurban,38.238052407271624,0
Not Graduate,No,6023.07809856893,2976.0407193559467,105.94854040640688,300,0,Urban,84.14438180949475,1
Not Graduate,Yes,7230.869233003891,3399.486426972343,179.28604904218943,360,1,Urban,58.96382840742482,1
Not Graduate,No,4129.920137944936,1371.3456949254298,190.2921742989305,180,0,Urban,28.758446878614013,0
Not Graduate,No,5359.106750803066,1722.4863811397665,150.93540858634032,180,1,Semiurban,46.60923479149744,1
Not Graduate,Yes,5749.527665454401,963.6907526262297,115.42293178657121,300,0,Semiurban,57.66233778056228,1
Graduate,No,5708.003406378912,1796.538858919695,213.58092144415448,180,0,Rural,34.97301724119818,0
Not Graduate,Yes,5113.932901874131,1963.410025657069,119.98359488981376,300,1,Semiurban,58.49836859267503,1
Graduate,Yes,6114.023627539583,2659.6499980823705,63.51870800290244,180,1,Rural,135.98650526646102,0
Not Graduate,No,5723.373429020986,3090.1834710204466,168.33556039828272,300,0,Rural,52.047879838774925,1
Not Graduate,No,3143.5063665090534,1251.9039353783528,105.80901305433933,240,1,Semiurban,41.15205427140528,0
Graduate,No,6303.734096583909,32.67493577400549,189.544351739967,240,0,Rural,33.25424749931773,0
Not Graduate,Yes,6330.936255900113,1978.755220723758,134.75449213306325,240,1,Rural,61.21117132889359,1
Graduate,Yes,3855.0708437321277,2293.5375299686407,174.14852962176784,180,1,Urban,35.10510985720891,1
Not Graduate,No,5056.906753171403,2249.4176876850415,206.06001386208632,300,1,Semiurban,35.28602314169103,1
Not Graduate,No,6024.993489216604,1673.326752490956,101.64564541517112,300,1,Rural,74.99899494586587,0
Graduate,No,4686.029270630957,2124.7520996639346,127.36251476430378,360,1,Rural,53.05895870613541,0
Not Graduate,No,6609.467071649017,3515.4448083522475,146.97315709371748,240,1,Rural,68.42397688108218,1
Graduate,Yes,8545.80874192904,2381.734168962509,211.50205276137373,360,1,Semiurban,51.423234594173465,1
Not Graduate,No,3821.0209510475265,1626.6315749969158,123.66469128238218,240,0,Urban,43.69843995125117,0
Graduate,Yes,2928.4330952693376,1499.8021829040044,126.21985216203971,360,1,Urban,34.80773796634433,1
Graduate,Yes,5455.727893407314,1830.1476423222693,169.12562302223233,240,0,Semiurban,42.826444402072525,0
Not Graduate,No,6082.343757689216,3636.7399618306404,126.91085097157716,300,1,Semiurban,75.98326213684183,1
Not Graduate,No,4653.700439232846,1816.6992904738026,156.10103531590465,240,0,Semiurban,41.18623226572458,0
Graduate,No,7179.890994981552,1980.205655479292,87.93850316127492,180,1,Semiurban,102.99360035158855,0
Not Graduate,Yes,2992.0913004151266,1517.686429063697,238.57319770226385,240,1,Urban,18.824216451305514,1
Not Graduate,No,6039.377934547417,3098.983357441965,96.09163078762387,240,0,Rural,94.12099907950291,0
Not Graduate,No,4091.20876886166,3959.8372547446747,137.12989184039168,300,1,Rural,58.28605174692581,1
Graduate,Yes,7579.066859310945,2450.6130494313884,148.7007585663162,180,1,Semiurban,66.99819028838967,1
Graduate,No,7988.7730297521775,2082.7729037854256,226.50752537427184,300,1,Semiurban,44.26906721862909,1
Graduate,Yes,3850.015118324978,2036.7828331742348,97.0061687626904,360,1,Rural,60.06558593014031,0
Graduate,No,4175.66429613713,-384.30678878574565,229.34816541915006,360,1,Urban,16.45924768036459,0
Graduate,Yes,6289.381830469703,2745.1508642848175,180.2870728440809,180,0,Semiurban,49.835504280687616,1
Graduate,No,4419.304025315728,2134.1664159958436,166.68381297692986,360,1,Semiurban,39.082308095016934,1
Graduate,No,4931.883173101643,2428.3420506607254,110.61465251928178,180,0,Urban,65.94318091426989,0
Graduate,Yes,5038.082630813616,1288.5378059162952,172.84564968152296,240,0,Urban,36.39216999861648,0
Graduate,Yes,2120.4902657035154,1615.5431210229083,121.060535103208,360,0,Urban,30.608037098702127,0
Not Graduate,No,4979.243380858644,1588.975063496827,200.66645012793649,240,0,Semiurban,32.56971320806518,0
Graduate,Yes,3965.4083389037387,3021.622984073039,111.15751883569068,300,0,Urban,62.29659317992483,0
Not Graduate,Yes,4260.315766400342,1621.2401633969066,145.47366022175663,360,0,Semiurban,40.15435895363544,1
Not Graduate,Yes,7165.448005203221,4082.6603221097976,127.78907647947314,300,0,Semiurban,87.33744068042746,1
Not Graduate,Yes,3115.2396585811157,2430.8624190150376,110.49908150292022,300,0,Urban,49.74123555852698,1
Graduate,No,6219.807780121966,724.3173400042684,179.65279267631658,180,1,Rural,38.439068764180824,0
Graduate,No,4581.555604502287,1871.4537067480433,171.41834989638534,300,0,Urban,37.42646484627802,0
Graduate,Yes,4580.359747256249,1348.3248778435843,198.3604079560399,180,1,Rural,29.73852574783626,0
Graduate,Yes,6185.557844077567,-194.38246982002428,78.80499567167331,180,0,Urban,75.07268591186835,0
Not Graduate,Yes,5510.0769418533355,3599.4709401137893,192.56682809364176,180,0,Urban,47.06151344051679,1
Graduate,Yes,5855.9194958292965,2703.142542220004,250.21795621427574,180,1,Semiurban,34.07026379415677,1
Graduate,No,6452.2769907992915,2533.2073178993123,131.93435643292213,180,0,Semiurban,67.59339383594657,0
Graduate,No,4503.037425225016,2165.4036602997044,225.8059444843588,240,1,Semiurban,29.401526933896548,1
Graduate,Yes,4081.6448982383745,617.9824313075624,139.47354911760695,180,0,Semiurban,33.455603272409135,0
Graduate,Yes,3372.274210163303,1516.3828604445632,95.10361049754772,360,1,Semiurban,50.868609881546654,1
Not Graduate,Yes,3761.8842050315675,2841.780774784013,137.77470230372816,180,1,Semiurban,47.58550996825431,1
Graduate,No,9423.641637963088,948.7799702174975,191.92815870701105,240,0,Semiurban,53.763129642120255,1
Not Graduate,Yes,6867.01937110518,-531.7693162508133,116.47294070673874,360,0,Rural,53.92944125464419,0
Graduate,No,2973.388450687968,1772.8939922190737,125.98645363974052,360,0,Rural,37.37628941408352,0
Not Graduate,Yes,3016.313064884645,1858.2424459724612,173.74157729172762,240,0,Semiurban,27.895796675333493,0
Graduate,No,5722.799092577738,2135.563416414709,150.1224046695429,360,1,Rural,51.99998323330157,0
Graduate,Yes,5820.8971960669505,2728.518643514536,173.38491809946964,240,1,Urban,49.026119533484405,1
Not Graduate,No,5823.325752976047,2637.605812231209,159.51318163033343,300,1,Rural,52.71175537902568,1
Not Graduate,Yes,4617.566309669453,2258.769805243922,169.18501278206293,300,1,Semiurban,40.40506271676893,1
Not Graduate,Yes,4811.818609995649,3195.5313880867093,132.70795256761835,180,1,Rural,59.88686420153586,1
Graduate,Yes,5491.819286239036,481.0302191866853,159.2692376812157,180,1,Urban,37.267597898643814,0
Not Graduate,No,5128.839509439996,2504.5818144773903,112.90507977216265,180,1,Rural,67.0156356431693,0
Graduate,Yes,1671.0494408786974,2626.5383633369424,201.53734490013554,180,0,Semiurban,21.218742678465734,0
Graduate,No,4655.3005541372095,760.4377139197607,124.62901132730745,240,0,Urban,43.108977861388084,0
Not Graduate,No,3722.8903486095296,497.1293913176109,195.1538995019756,300,0,Urban,21.51382027398664,0
Not Graduate,Yes,5262.817128362768,1254.0578735243985,140.65572156068538,240,0,Rural,46.00502493007552,0
Graduate,Yes,9477.888503905115,1338.4585574847079,158.07996043029286,360,0,Urban,67.99314654173195,1
Graduate,Yes,5551.222498211457,2753.419463502431,130.20141796437198,360,0,Urban,63.29689183671041,1
Not Graduate,No,4529.705470741404,1385.4612163089048,109.36018275327883,360,0,Urban,53.59873950439401,0
Not Graduate,Yes,6382.702252965878,1143.651481718796,80.20958449578794,360,0,Semiurban,92.6781460761573,1
Not Graduate,No,5724.031830813819,1388.366263305441,107.78703365630162,360,1,Urban,65.3790976283989,1
Graduate,No,5630.141735677762,3118.6323341542115,137.04364587136314,300,0,Rural,63.37686906635729,0
Graduate,Yes,5910.275889823507,2013.0433743769522,158.47516715315535,240,0,Rural,49.68371819664645,0
Graduate,Yes,8084.815347244313,1820.7489746430876,190.41517253133054,360,0,Urban,51.749107402998966,1
Graduate,Yes,3303.6673470111264,1889.9945012989483,132.16970160812605,180,1,Rural,39.000326542694275,0
Graduate,Yes,5710.448115217182,3292.0603343265225,114.72156942931304,300,0,Urban,77.79455890496513,1
Graduate,Yes,3610.428305027692,1250.8282733967583,92.2914085598915,180,1,Rural,52.1082986468535,0
Not Graduate,Yes,5833.268969513372,3315.508290940104,169.20254471616417,300,1,Urban,53.75229421928035,1
Graduate,No,3621.9702327708583,2210.4962989215037,205.32778061317373,300,0,Urban,28.267965246168927,0
Graduate,No,4373.9497795923735,1839.5806180246523,200.65321071825156,180,1,Urban,30.812950488046162,0
Graduate,No,4557.36512864314,4500.900497934282,178.3973099258895,180,0,Semiurban,50.49276173828619,0
Not Graduate,Yes,6463.725079017064,944.3605102014037,175.54173269070395,360,0,Rural,41.962234517077164,1
Graduate,No,6377.681665913621,1646.314240432994,217.90495118837364,180,0,Urban,36.65515952374119,0
Graduate,No,3131.4239353304233,767.5687608359998,163.28325845667243,240,1,Semiurban,23.733353798766608,0
Not Graduate,No,5082.401166499773,2952.4619705361692,175.84518704096686,300,0,Semiurban,45.43444620392545,1
Graduate,No,3935.630217876241,3689.1889336516783,137.16864552592003,300,0,Urban,55.18487296814042,0
Graduate,No,3112.242633986998,3669.9227814046385,95.51826516580971,360,0,Urban,70.2682067869795,0
Graduate,Yes,4674.474424363444,3223.9487531460045,122.64604398001696,300,1,Urban,63.87930356094491,1
Graduate,Yes,4537.27581731627,1802.3795322040344,149.6336384586138,180,1,Urban,42.08658447337517,0
Graduate,No,8640.074729518283,1634.7590225101535,152.43141490005212,300,1,Urban,66.96694910049315,1
Not Graduate,No,5649.439738041045,328.83022750593494,227.05143419421572,300,1,Rural,26.21456859795803,1
Not Graduate,No,2933.573748868644,4035.8735351817927,153.25108670364276,180,0,Urban,45.182484175561065,0
Not Graduate,Yes,4152.838993743587,2468.978078148468,197.15373776102575,180,0,Urban,33.41757337869647,1
Graduate,Yes,6532.074943144097,1508.043095130517,132.59691033694736,300,1,Rural,60.18191601883963,1
Graduate,No,8132.664159304888,3328.0568889869674,137.53296456939063,240,0,Semiurban,82.72919794877576,1
Graduate,Yes,2621.0250316430624,1027.2354832399992,96.83969451106206,180,1,Rural,37.288142947651764,0
Not Graduate,Yes,2180.1134222914325,2406.622034222674,120.30687948493713,240,0,Semiurban,37.81100854287204,0
Graduate,No,7806.447763057673,1827.3708657091654,171.07925565455014,240,0,Semiurban,55.98477627138724,0
Graduate,Yes,5584.421266056356,2638.6771398803007,150.30240721576533,360,1,Rural,54.34876124746699,1
Not Graduate,Yes,3697.5609021854502,1936.4264608138785,187.71754479588935,240,1,Urban,29.854073022690407,1
Graduate,No,5801.943629183653,549.0721088887756,157.250157933802,360,0,Semiurban,40.13276081992371,0
Not Graduate,Yes,1046.3783914746834,2075.576372670038,135.90185073449032,240,1,Urban,22.804328410428077,0
Not Graduate,Yes,5005.063259895742,3048.864141875362,235.93187455147836,360,0,Rural,33.992587181515844,1
Not Graduate,No,5491.731759264628,1970.7835941460148,146.24385725147812,180,0,Semiurban,50.68133566119092,0
Graduate,Yes,6386.405209306745,2775.115121589086,196.52003878821216,300,0,Urban,46.38273861782262,1
Graduate,Yes,3479.1560715611936,954.4705143259469,133.95163173821288,300,0,Semiurban,32.85344926015974,0
Graduate,No,5128.530742105038,1973.7392067301478,178.38397917534266,360,1,Semiurban,39.592554371273714,1
Graduate,No,3611.863060910619,1375.4895449114226,187.12062636606748,180,0,Rural,26.511460769416416,0
Graduate,No,5383.075633511476,2746.98084010471,158.33967882302323,360,0,Urban,51.023427018741174,1
Graduate,Yes,3656.9805164554637,2031.4915622619958,55.82068309213591,360,0,Urban,100.11270138188034,0
Graduate,No,4387.848741259669,2690.0736763366126,150.73009843424452,180,1,Semiurban,46.64811062957064,0
Not Graduate,Yes,3506.276907814656,3087.710426157866,199.21840191039902,240,0,Urban,32.93397245735403,1
Graduate,No,5976.704362735485,2691.6185751213884,171.0992333211092,240,1,Semiurban,50.368167077671934,1
Not Graduate,Yes,6287.676674984998,2273.118434293644,167.83355500916986,180,1,Rural,50.705531307527586,1
Graduate,No,4648.06914506388,1001.7877414885947,81.10972264169924,360,1,Rural,68.80862222865684,0
Graduate,No,5057.356992440043,1997.2138893330987,121.18179717299765,300,1,Urban,57.73831327578648,0
Graduate,No,2827.112878049684,1466.909597984167,166.45430524605757,360,1,Rural,25.642950593143656,0
Not Graduate,No,4550.485027989819,1655.9360432957735,166.4153310714757,240,1,Rural,37.071999509028515,0
Not Graduate,Yes,4924.693074437383,1625.4658492497492,198.58667120531612,180,1,Urban,32.818619019648565,1
Not Graduate,No,8931.189636544963,1020.0744252177554,144.20532979415623,180,0,Semiurban,68.53236087042865,1
Not Graduate,No,3332.0494613387546,42.661410866010165,166.23296346695258,180,0,Rural,20.179699039248632,0
Graduate,Yes,7196.265858128656,1331.8569516722332,150.65496967725176,240,1,Urban,56.23371807696261,1
Not Graduate,No,6495.288160198712,2193.379451924159,110.52229053993773,360,1,Urban,77.90969473507481,1
Graduate,Yes,5420.954606735205,651.8229545725098,59.7683467562101,180,1,Urban,99.9332363881879,0
Graduate,No,7637.9307262927005,2015.6822364716243,167.24038768520307,300,0,Rural,57.379878253890695,0
Not Graduate,No,5558.158208910294,3900.2684243109647,156.95788833651247,180,1,Rural,59.87941933657082,1
Not Graduate,No,5583.738793501893,3023.0565552522394,125.27299831599325,360,0,Semiurban,68.16022002753085,1
Not Graduate,Yes,4920.319020473682,3643.541509120529,85.23307773936541,240,0,Semiurban,99.31062133115547,1
Not Graduate,No,6835.353323627941,2391.1278769327264,175.18958057634953,300,1,Semiurban,52.36678111372476,1
Not Graduate,No,6644.703850716325,3167.509822986446,139.3631970321779,300,0,Semiurban,69.905886166538,1
Not Graduate,No,4061.484068755681,1276.0352695322126,172.27498889472582,180,1,Semiurban,30.803749417815474,0
Not Graduate,Yes,3021.129208101849,1355.6597329780159,224.56194121647033,360,1,Semiurban,19.403933648892874,1
Not Graduate,Yes,4695.529043906515,-739.1402061374728,64.3427647872118,180,1,Urban,60.54823132527359,0
Graduate,No,3799.9421534035305,3186.145474042299,122.01596765190544,300,0,Semiurban,56.79008799259418,0
Not Graduate,Yes,4904.713138076967,3540.323979819886,141.62497546752346,180,1,Rural,59.211488662585865,1
Not Graduate,No,6856.157202026209,1446.8227546527303,208.19304696586602,360,0,Semiurban,39.69051589957354,1
Graduate,No,4314.047517369815,1746.048293602765,84.5438792317406,240,1,Rural,70.84195696287775,0
Not Graduate,No,4935.764928032638,1246.1378863090385,227.43444102722418,300,1,Semiurban,27.062043650435943,1
Graduate,No,5087.034102212593,2382.6535514774914,155.43423606265162,360,1,Urban,47.74969879802071,1
Graduate,No,6272.646323307927,3124.9325453032407,146.15997353064566,180,1,Urban,63.859612387427795,1
Not Graduate,No,1629.6659990230921,257.228026118959,142.07760947124373,300,1,Rural,13.187905725537622,0
Graduate,No,4089.9495578520555,2409.4385306422523,132.54947871279884,180,0,Semiurban,48.666517841461506,0
Graduate,Yes,5316.925538419209,1723.3282282808545,191.9246703707662,180,1,Urban,36.49224204022209,1
Graduate,Yes,6800.1184346402915,2113.3943919666895,107.25916983670244,240,1,Urban,82.3349452988793,1
Graduate,Yes,4262.146328740692,2458.9940016742908,163.81656726575414,180,1,Semiurban,40.77951896412001,1
Not Graduate,Yes,2185.170940937189,1811.797561227179,134.63273337172097,180,0,Rural,29.469055166868177,0
Graduate,Yes,5929.567168949205,1896.4131465942194,119.51466205943608,360,1,Rural,64.9379932848649,1
Not Graduate,Yes,4046.956416761556,1786.124832445361,253.43900702735584,180,1,Rural,22.925263375909093,1
Graduate,Yes,3215.5000113644583,2970.3162017882814,166.7620293901384,240,1,Urban,36.872564284301404,1
Graduate,No,4063.481915430164,2418.7599601274965,174.53062178644575,180,1,Semiurban,36.92940758475802,0
Graduate,No,4723.211963516225,2220.583537737361,195.51107122674648,180,0,Urban,35.33539081490941,0
Graduate,No,4092.883003192681,729.0482789077173,93.14600218725812,180,1,Urban,51.21758938323785,0
Not Graduate,No,1691.6509143513963,1621.4202567868458,220.09167636488127,300,0,Urban,14.98505608899756,0
Not Graduate,Yes,6345.599295330699,2898.669160339174,49.641712860196975,240,0,Urban,182.54257080896684,1
Graduate,Yes,6912.312561918084,2037.696573123923,119.24934359845918,300,0,Semiurban,74.42875667519809,1
Graduate,No,5977.282987009258,2659.5314695891384,131.638733072844,240,0,Urban,65.11532684691082,0
Not Graduate,No,3293.471494362775,3766.511800327634,173.26893459882024,240,1,Urban,40.512001240743245,1
Graduate,Yes,4697.762699078723,3038.6060692088167,158.74873064565952,360,1,Rural,48.42835831633409,1
Graduate,No,4990.218027155813,2093.1583376997423,143.32741037206426,300,0,Urban,49.07852463087358,0
